0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
"G, D","C, G, D","C, G, D","C, G, D, A, F, Bb","C, G, D, A, F, Bb","C, G, D, A, F, Bb","C, G, D, A, F, Bb",Any,Any,Any
D,"C,G,D","C,G,D","C,G,D,A,F,Bb","C,G,D,A,F,Bb","C,G,D,A,F,Bb,Eb","C,G,D,A,F,Bb,Eb",Any,Any,Any
